Variable,IMF,Mean,Std,Energy,Energy_Ratio,RMS,Max_Amplitude,Zero_Crossings,Zero_Crossing_Rate,Dominant_Period_Hours,Persistence,Interpretation
obs_wind_speed_10m,1,0.0001142671485280997,0.12124719086545412,769.106689695614,0.023877339880476474,0.12124724470991122,5.717098715314912,33095,0.6325859663206989,0.7904064058014806,-0.23506605786617973,High-freq noise/measurement errors
obs_wind_speed_10m,2,-0.0005970037615604066,0.11547958507715497,697.6938085619634,0.021660287737363424,0.11548112825515341,5.601233148845715,15281,0.2920847907945792,1.7118316864079577,0.694092599814088,High-freq noise/measurement errors
obs_wind_speed_10m,3,0.0012124838529478327,0.15412221468909018,1242.7969885590612,0.03858331554754978,0.15412698393780258,3.4953714548832475,7390,0.14125427681250835,3.539715832205683,0.9273780210786168,Short-term fluctuations (< 6h)
obs_wind_speed_10m,4,0.003845972090504556,0.22913420537753343,2747.5463062737344,0.0852990851219998,0.22916648004303466,3.8442486354925536,3512,0.06712923141617448,7.448320045558087,0.9845435005776999,Daily cycles and sub-daily patterns
obs_wind_speed_10m,5,-0.01669952413768226,0.37540444051846855,7387.545875182659,0.22935042186950608,0.3757756884996812,5.463255621175779,1656,0.03165319112334423,15.796195652173912,0.9971353132102181,Daily cycles and sub-daily patterns
obs_wind_speed_10m,6,-0.0019648091403119644,0.43515785479084274,9907.07248262093,0.30757051012217296,0.4351622904861197,9.418185009818986,869,0.016610279641416748,30.101841196777904,0.9992560963333653,Weekly and multi-day patterns
obs_wind_speed_10m,7,-0.10363435775443888,0.8446886079509819,37890.00781355528,1.17631611681368,0.8510222820287038,12.268624651223119,443,0.00846761091041153,59.04853273137697,0.9999409828049887,Weekly and multi-day patterns
obs_wind_speed_10m,8,0.5274596931029513,4.248982214753884,959078.5707931982,29.775121337163167,4.281595916144245,64.3825727780974,228,0.0043580480532140605,114.73026315789474,0.9999994424303543,Weekly and multi-day patterns
obs_wind_speed_10m,9,-0.6386188524077554,4.050336769193612,879608.9637401439,27.3079437099283,4.100373395500991,54.777070261251794,116,0.0022172525183018904,225.5043103448276,0.9999998341240666,Monthly and seasonal patterns
obs_wind_speed_10m,10,-0.7293080063627129,3.0065523332603274,500738.93457139604,15.545715428480788,3.0937432183001023,14.922478277584803,49,0.0009365980465240744,533.8469387755102,0.999999944166277,Monthly and seasonal patterns
obs_wind_speed_10m,11,1.0615306811331113,3.7760133480711526,804903.542342319,24.988672844743085,3.9223875626712923,23.545227285576278,25,0.0004778561461857522,1046.34,0.9999999956245847,Monthly and seasonal patterns
