feature,mean_gradient,std_gradient,abs_mean_gradient
obs_wind_dir_sin_10m,18325.468310493863,102922.88094321148,28469.36118783336
obs_wind_speed_10m,4223.245233500248,56946.25498318201,4393.02234833688
obs_wind_dir_cos_70m,125.88517088429715,24787.343426783733,2340.904941608561
obs_wind_dir_cos_30m,-62.0135573810318,16826.349279667607,957.6140860984108
obs_wind_dir_cos_50m,177.0206311117739,10654.209696420909,804.2550193320124
obs_wind_dir_cos_10m,-22.40520616956274,9588.866621253253,799.5252228064447
obs_wind_dir_sin_50m,-40.31266679517463,5331.824870390076,120.00350454878989
obs_wind_dir_sin_70m,-11.745854358687831,2396.791378137888,51.18336557063551
obs_wind_dir_sin_30m,-9.869087229909166,673.1833814484743,15.607477789962568
obs_wind_speed_30m,0.0,0.0,0.0
obs_wind_speed_50m,0.0,0.0,0.0
obs_wind_speed_70m,0.0,0.0,0.0
obs_temperature_10m,0.0,0.0,0.0
