Variable,IMF,Mean,Std,Energy,Energy_Ratio,RMS,Max_Amplitude,Zero_Crossings,Zero_Crossing_Rate,ZC_Period_Points,ZC_Period_Hours,FFT_Period_Hours,Persistence,Interpretation
obs_wind_speed_10m,1,-0.002250141140564662,0.361452708701916,6835.379475914342,0.35408559205403195,0.3614597125034885,4.396320231254286,30495,0.5828889271173806,3.431185440236104,0.857796360059026,1.322204811969268,-0.16290453728775411,High-frequency noise/turbulence
obs_wind_speed_10m,2,-0.0007751025462565614,0.4127696010800847,8913.736158870057,0.46174840129190353,0.4127703288267816,4.07438682810157,11287,0.21574249287994343,9.270310977230443,2.3175777443076107,3.31876427302715,0.8293812196180743,High-frequency noise/turbulence
obs_wind_speed_10m,3,0.004034649999834647,0.6470488470923013,21904.525675042005,1.1346958818657968,0.6470614259280933,4.910577239546199,4223,0.08071946021369727,24.777172626095194,6.194293156523798,11.999311926605502,0.9756398594070897,Sub-daily patterns/local effects
obs_wind_speed_10m,4,-0.021157177184335203,1.0824857864247746,61327.196129774464,3.176864814476184,1.0826925251233945,5.603456697652621,1595,0.030487222126650993,65.6012539184953,16.400313479623826,23.998623853211004,0.9967244382890293,Diurnal and semi-diurnal cycles
obs_wind_speed_10m,5,-0.011769375970554522,1.11140997675887,64630.88653931821,3.3480022295602305,1.1114722914449502,5.110180249663178,651,0.012443374046676989,160.72811059907835,40.18202764976959,50.30480769230769,0.9993774262427382,Multi-day weather patterns
obs_wind_speed_10m,6,-0.006927938235734663,1.0116744232776762,53548.18302601413,2.7738972147771777,1.0116981442319726,3.935341631112469,260,0.0049697039203318236,402.4384615384615,100.60961538461538,113.73260869565216,0.999888237152359,Multi-day weather patterns
obs_wind_speed_10m,7,0.003942725403940077,0.7774473193965813,31622.481176876136,1.6381043670196351,0.7774573168480318,3.1493940199212176,112,0.00214079553491217,934.2321428571429,233.55803571428572,221.6822033898305,0.9999773831024057,Weekly to monthly cycles
obs_wind_speed_10m,8,0.001475570018125807,0.505624811165887,13375.292387368267,0.6928654569311331,0.5056269642467827,1.4054465417694884,52,0.0009939407840663646,2012.1923076923076,503.0480769230769,523.17,0.9999956614009936,Weekly to monthly cycles
obs_wind_speed_10m,9,0.01035065231711887,0.40302928772570307,8503.591722397507,0.44050214332952115,0.4031621792381788,0.9615262675129393,20,0.0003822849169486018,5231.7,1307.925,1634.9062499999998,0.9999994557070193,Seasonal patterns
obs_wind_speed_10m,10,-0.004004337397513623,0.22089014579753805,2553.513835598857,0.1322768489272846,0.22092643850035407,0.48635060382205864,8,0.00015291396677944073,13079.25,3269.8125,4359.75,0.9999999072661545,Seasonal patterns
