Variable,IMF,Mean,Std,Energy,Energy_Ratio,RMS,Max_Amplitude,Zero_Crossings,Zero_Crossing_Rate,ZC_Period_Points,ZC_Period_Hours,FFT_Period_Hours,Persistence,Is_Trend,Interpretation
obs_wind_speed_10m,1,-0.0017565006294559594,0.3643086097241563,6943.713577454778,0.3602147957882793,0.36431284415129933,4.553887367523179,30689,0.586597090811782,3.4094952588875493,0.8523738147218873,1.322204811969268,-0.16419503030592822,False,High-frequency noise/turbulence
obs_wind_speed_10m,2,-0.0009514655725953993,0.41352855114844833,8946.561076311706,0.46411529438290366,0.4135296457349469,4.032220349576332,11281,0.21562780740485885,9.275241556599592,2.318810389149898,3.167655606684427,0.8284901463115018,False,High-frequency noise/turbulence
obs_wind_speed_10m,3,0.0038590467986544053,0.6465267579668825,21869.1202543868,1.1344910181895485,0.6465382749763251,4.98883721639232,4235,0.08094883116386643,24.706965761511217,6.176741440377804,11.999311926605502,0.9755162806717294,False,Sub-daily patterns/local effects
obs_wind_speed_10m,4,-0.018602587702997244,1.0776048639633071,60770.291874361326,3.1525433809067223,1.0777654193314172,5.154965851236532,1613,0.030831278551904734,inf,inf,inf,0.9966883932144859,True,Long-term trend/climate patterns
obs_wind_speed_10m,5,-0.0151017209904391,1.1044162110160975,63824.81625850023,3.3110010800888108,1.104519456203478,5.10290572573818,659,0.01259628801345643,inf,inf,inf,0.9993624129449433,True,Long-term trend/climate patterns
obs_wind_speed_10m,6,-0.00184003882332947,1.0211060172959558,54548.88948396915,2.829799482188295,1.0211076751747976,4.042098054379689,252,0.004816789953552382,inf,inf,inf,0.9998847795442728,True,Long-term trend/climate patterns
obs_wind_speed_10m,7,0.002086081814172668,0.7955683506015898,33113.17418789858,1.7177919487813564,0.7955710855833498,3.2627823353101633,110,0.00210256704321731,inf,inf,inf,0.9999772223796106,True,Long-term trend/climate patterns
obs_wind_speed_10m,8,0.0017391644866862118,0.5162990937333476,13946.026487821275,0.7234695134429587,0.5163020229313341,1.41914997573277,49,0.0009365980465240744,inf,inf,inf,0.9999957519577592,True,Long-term trend/climate patterns
obs_wind_speed_10m,9,0.014111459527110862,0.40195165241474606,8463.021008525917,0.43903098109290273,0.40219928414770967,1.0019826123939775,20,0.0003822849169486018,inf,inf,inf,0.9999994728655608,True,Long-term trend/climate patterns
obs_wind_speed_10m,10,2.0844283692573003e-05,0.23184707257999343,2812.1991276796307,0.1458867395945225,0.23184707351699935,0.5261850363830303,7,0.00013379972093201063,inf,inf,inf,0.9999999141975658,True,Long-term trend/climate patterns
obs_wind_speed_10m,11,-0.01365567123485257,0.11295465334576235,677.2556538544368,0.035133578643238954,0.11377711135960396,0.28443843514602113,5,9.557122923715044e-05,inf,inf,inf,0.9999999773387476,True,Long-term trend/climate patterns
obs_wind_speed_10m,12,5.617775027174475,0.1115650131450381,1651744.110654936,85.68652218690045,5.6188827188421735,5.767810763864946,0,0.0,inf,inf,inf,0.9999999935390707,True,Long-term trend/climate patterns
